,0
Mister_Sinister_House_of_M,
Mister_Sinister_Ultimate,
Misty_Knight,
Mockingbird,
Moira_MacTaggert,
Moira_MacTaggert_Ultimate,
Mojo,
Mole_Man,
Molecule_Man,
Molly_Hayes,
Molly_Von_Richtofen,
Molten_Man,
Mongoose,
Mongu_Unrevealed,
Monster_Badoon,
Moon_Girl_Lunella_Layfayette,
Moon_Knight,
Moon_Knight_House_of_M,
Moon_Knight_Ultimate,
Moondragon,
Moonstone,
Morbius,
Mordo,
Morg,
Morgan_Le_Fay,
Morgan_Stark,
Morlocks,
Morlun,
Morph,
Mother_Askani,
Mr._Bumpo,
Mr._Fantastic,
Mr._Fantastic_Ultimate,
Mr._Fish,
Mr._Fixit,
Mr._Hyde,
Mr._Immortal,
Mr._Meugniot,
Mr._Negative,
Mr._Payback,
Mr._X,
Ms._America_America_Chavez,
Ms._Marvel_Kamala_Khan,"A Muslim-American teenager growing up in Jersey City, Kamala Khan gained shape-shifting powers when Inhumanity spread over the Earth. A fan of super heroes, in particular Carol Danvers, Kamala took up Captain Marvel's former identity, becoming the new Ms. Marvel. This up and coming hero works to protect her community and understand her place in the world."
MS2,
Mulholland_Black,
Multiple_Man,
MVP,
Mysterio,
Mysterio_Daniel_Berkhart,
Mysterio_Francis_Klum,
Mystique,
Mystique_Age_of_Apocalypse,
Mystique_House_of_M,
Mystique_Ultimate,
Nakia_Nakia,
Namor,
Namora,
Namorita,
Naoko,
Natasha_Romanoff,
Nebula,
Nehzno,
Nekra,
Nemesis,
Network,
New_Goblin,
New_Mutants,
New_Warriors,
New_X-Men,
Newton_Destine,
Next_Avengers,
Nextwave,
Nick_Fury,
Nick_Fury_LEGO_Marvel_Super_Heroes,
Nick_Fury_Ultimate,
Nico_Minoru,
Nicolaos,
Night_Nurse_Earth-9997,
Night_Nurse_Linda_Carter,
Night_Thrasher,
Night_Thrasher_Dwayne_Taylor,
Nightcrawler,
Nightcrawler_Ultimate,
Nighthawk,
Nightmare,
Nightshade,
Nine-Fold_Daughters_of_Xao,
Nitro,
Nocturne,
Nomad,
Nomad_Rikki_Barnes,
Nomad_Steve_Rogers,
Norman_Osborn,
Norrin_Radd,
Northstar,
Nova,
Nova_Frankie_Raye,
Nova_Sam_Alexander,"Sam Alexander inherited the role of Nova from his father, who went missing mysteriously. The new Human Rocket struggles to become a hero while searching for his dad."
Nova_USM,"The hyperactive loose cannon of the team. Sam Alexander always feels like he has something to prove. 

The hyperactive loose cannon of the group. Sam always feels like he has something to prove.

Samâ€™s powers derive from the Nova Force, which is channeled through his helmet. These powers include flight, enhanced durability, and the ability to absorb and release pulses of energy. However, Sam does not know the extent of his powers, let alone how they work.  

Enthusiastic and immature, Samâ€™s eagerness can be a blessing and a curse. His personality will constantly clash with Spideyâ€™s as they compete for bragging rights. "
Nuke,
Obadiah_Stane,
Odin,
Ogun,
Okoye,
Old_Lace,
Old_Man_Logan_Earth-807128,
Omega_Michael_Pointer,
Omega_Flight,
Omega_Red,
Omega_Sentinel,
Omega_the_Unknown,
Onslaught,
Onslaught_Ultimate,
Oracle,
Ord,
Orphan,
Orphan-Maker,
Otto_Octavius,
Outlaw_Inez_Temple,
Outlaw_Kid,
Overlord,
Owl,
Ozymandias,
Paibok,
Paladin,
Pandemic,
Paper_Doll,
Patch,
Patriot,
Payback,
Penance_Monet_St._Croix,
Penance_Robert_Baldwin,
Pepper_Potts,
Pestilence,
Pet_Avengers,
Pete_Wisdom,"Pete Wisdom is a former agent of the British intelligence agency Black Air, which was charged with the observation of, and interaction with, extranormal activity, and he was the agency's liaison with the British superhero group Excalibur, whom he eventually aided in exposing Black Air's subversive criminal activities."
Peter_Parker,
Peter_Quill,
Phalanx,
Phantom_Reporter,
Phil_Coulson_Phil_Coulson,
Phil_Sheldon,
Phoenix_Force,
Photon,
Phyla-Vell,
Piledriver,
Pip,
Pixie,
Plazm,
Polaris,
Post,
Power_Man_USM,"A former street kid whoâ€™s not quite used to the Super Hero world, Luke is a no-nonsense tough guy who serves as the emotional heart and big brother of the group. He is fiercely loyal and nearly fearless in battle. 

Lukeâ€™s unbreakable skin and super strength make him the bruiser out of all the trainees. Heâ€™s the first guy to jump into a fight. However, he can still be hurt by concussive blasts and other forms of energy.

As Dannyâ€™s best friend, Luke is the translator for Dannyâ€™s sometimes spacey, non-sequitur comments. Luke will always be the first to defend Peter from others, both as civilians and Super Heroes."
Power_Pack,
Praxagora,
Preak,
Pretty_Boy,
Pride,
Prima,
Prince_of_Orphans,
Princess_Powerful,
Prism,
Prodigy,
Prodigy_David_Alleyne,
Proemial_Gods,
Professor_Monster,
Professor_X,
Professor_X_Ultimate,
Proteus,
Proteus_House_of_M,
Proteus_Ultimate,
Proudstar,
Prowler,
Prowler_Rick_Lawson,
Psycho-Man,
Psylocke,
PsyNapse,
Puck,
Puck_Zuzha_Yu,
Puff_Adder,
pug,
Puma,
Punisher,
Punisher_2099,
Punisher_Marvel:_Avengers_Alliance,
Puppet_Master,
Purifiers,
Purple_Man,
Pyro,
Quake_Daisy_Johnson,
Quasar_Phyla-Vell,
Quasar_Wendell_Vaughn,
Quasimodo,
Queen_Noir,
Quentin_Quire,
Quicksilver,
Quicksilver_Age_of_Apocalypse,
Quicksilver_Ultimate,
Rachel_Grey,
Radioactive_Man,
Rafael_Vega,
Rage,
Raider,
Randall,
Randall_Flagg,
Random,
Rattler,
Ravenous,
Rawhide_Kid,
Raza,
Reaper,
Reavers,
Reavers_Ultimate,
Red_9,
Red_Ghost,
Red_Ghost_Ultimate,
Red_Guardian_Alexei_Shostakov,
Red_Hulk,
Red_Hulk_HAS,"US Army General Thunderbolt Ross used to a be a huge pain in Hulk's you know what! But as the saying goes, if you can't beat 'em, join 'em! He decided to supersize himself and join the team as Red! Just as cranky as before, Red still gives Hulk a hard time, but deep down he loves being a part of the Agents of S.M.A.S.H. - that, and his Gatling Laser Cannon. "
Red_She-Hulk,
Red_Shift,
Red_Skull,
Red_Skull_Albert_Malik,
Red_Wolf,
Redwing,
Reptil,
Retro_Girl,
Revanche,
Rhino,
Rhodey,
Richard_Fisk,
Rick_Jones,
Rick_Jones_Ultimate,
Ricochet,
Rictor,
Riptide,
Risque,
Robbie_Robertson,
Robert_Baldwin_,
Robin_Chapel,
Rocket_Raccoon,"A genetically-engineered alien with a knack for big guns and fast ships, Rocket serves as the backbone of the Guardians of the Galaxy!"
Rocket_Raccoon_Marvel_Heroes,
Rocket_Racer,
Rockslide,
Rogue,
Rogue_Age_of_Apocalypse,
Rogue_Deadpool,
Rogue_Ultimate,
Rogue_X-Men:_Battle_of_the_Atom,
Roland_Deschain,
Romulus,
Ronan,
Ronin,
Roughhouse,
Roulette,
Roxanne_Simpson,
Rumiko_Fujikawa,
Runaways,"The teens who became the Runaways found that some family secrets are bigger than others when they witnessed their parents, part of a cabal known as the Pride, murdering a young girl during a secret sacrificial ritual. "
Russian,
S.H.I.E.L.D.,
Sabra,"Ruth Bat-Seraph is an Israeli national who, along with her family, was taken to a special community by the Israeli government when her genetic mutation manifested."
Sabretooth,
Sabretooth_Age_of_Apocalypse,
Sabretooth_House_of_M,
Sabretooth_Ultimate,
Sage,
Salem's_Seven_Ultimate,
Sally_Floyd,
Salo,
Sandman,
Santa_Claus,
Saracen_Muzzafar_Lambert,
Sasquatch_Walter_Langkowski,
Satana,
Sauron,
Scalphunter,
Scarecrow_Ebenezer_Laughton,"Realizing the criminal potential of his abilities, Umberto stole a flock of trained birds from a fellow performer to assist him in his new costumed criminal guise as the Scarecrow."
Scarlet_Spider_Ben_Reilly,
Scarlet_Spider_Kaine,
Scarlet_Witch,
Scarlet_Witch_Age_of_Apocalypse,
Scarlet_Witch_Marvel_Heroes,
Scarlet_Witch_Ultimate,
Scorpion_Carmilla_Black,"Carmilla Black is a genetically engineered human, created by Advanced Idea Mechanics (A.I.M.)."
Scorpion_Mac_Gargan,
Scorpion_Ultimate,
Scourge,
Scrambler,"Korean national Kim Il Sung was the youngest member of the Marauders, the superhuman assassins responsible for massacring the underground mutant community known as the Morlocks."
Scream_Donna_Diego,"Out of the five alien symbiotes that were forcefully extracted from Venom (while bonded with Eddie Brock) by the Life Foundation, Donna's is the only one still active today that is not bonded to Hybrid."
Screwball,"Trained in parkour, Screwball, fairly new to the New York City superhuman criminal community, specializes in recording he crimes and broadcasting them live over the internet."
Sebastian_Shaw,Sebastian Shaw was invited to join the elite Hellfire Club and quickly worked his way into a position within the Inner Circle.
Secret_Warriors,
Selene,"The long-standing Black Queen of the Hellfire Club's Inner Circle, Selene Gallio professes to have lived for several millennia, and to have been a foe of the ancient sorcerer, Kulan Gath."
Senator_Kelly,
Sentinel,
Sentinels,
Sentry_Robert_Reynolds,"Empowered by the enigmatic Professor's secret formula, high school student Robert Reynolds became a superhuman."
Ser_Duncan,
Serpent_Society,
Sersi,"Sersi is a member of the Eternals, a species diverted from humanity by experiments conducted by the Celestials one million years ago."
Shadow_King,"One of the oldest and more powerful mutants ever, Amahl Farouk has been a threat to mankind at least for decades. He was the first evil mutant met by Charles Xavier, convincing him of the need of the X-Men."
Shadow_King_Age_of_Apocalypse,
Shadowcat,
Shadowcat_Age_of_Apocalypse,Katherine Pryde lived in the suburbs of Illinois and kept her mutant abilities a secret.
Shadowcat_Ultimate,"After fourteen-year-old Kitty Pryde's mutant powers emerged, causing terrifying incidents where she uncontrollably phased out of the family apartment in to moving traffic andsewers, her mother Theresa contacted Professor Xavier."
Shadu_the_Shady,Shadu the Shady claimed to travel to many unseen magical lands and witnessed miracles he would duplicate at a club called the 53rd Card.
Shalla-bal,
Shaman,"Dr. Michael Twoyoungmen was a surgeon who found that modern science was insufficient to accomplish everything he wished to do, and so he turned to mysticism that his grandfather told him about."
Shane_Yamada-Jones,
Shang-Chi,"Shang-Chi is the son of an internationally-renowned and powerful criminal mastermind whose childhood was a lonely one, full of constant training in rigorous mental and martial arts, with only limited contact with his parents."
Shang-Chi_Ultimate,
Shanna_the_She-Devil,"The only daughter of a wealthy diamond miner, Shanna grew up in the Zaire jungles, where, at age six, she witnessed her father’s accidental fatal shooting of her mother, starting a lifelong loathing of firearms."
Shape,"Often clashing with the heroes of the Squadron Supreme, the Shape was later subjected to the mind-altering behavior modification device used as part of the Squadron Supreme's ""Utopia Program."""
Shard,"Shard and her older brother Bishop were raised in the 21st Century, some eighty years into an alternate future, by their grandmother, in a timeline in which the X-Men were betrayed by one of their own and killed, causing a disaster that caused the government to place a stylized 'M' tattoo over the left eyes of all mutants."
Sharon_Carter,
Sharon_Ventura,
Shatterstar,"Shatterstar is Gaveedra Seven, the product of bio-engineering on an otherdimensional world, who was at one point merged with an Earth mutant named Benjamin Russell, the nature of whose genetic mutation remains unknown."
She-Hulk_HAS,"She-Hulk is the Hulk's action-loving cousin. She's unbelievably strong, pilots the group's heavily armed Jump Jet, and uses a pair of Gamma Gauntlets that give her fists an added energy wallop. As the most competitive member of the team, She-Hulk never backs down from a fight, arm-wrestling match, or burping contest!  "
She-Hulk_Jennifer_Walters,"Seriously wounded, young lawyer Jennifer Walters was given a blood transfusion by her cousin Bruce Banner. Usually in better control of her powers and temper than the Hulk, She-Hulk has been a high profile New York lawyer as well as an upstanding member of both the Avengers and Fantastic Four."
She-Hulk_Lyra,
She-Hulk_Marvel_War_of_Heroes,
She-Hulk_Ultimate,
Shen,
Sheva_Callister,
Shi'Ar,
Shinko_Yamashiro,
Shinobi_Shaw,"Shinobi Shaw is the illegitimate son of Sebastian Shaw, who was rejected and abandoned by his father at an early age and grew tired of waiting to inherit his father's wealth and wearied of the elder Shaw's contempt for his decadent lifestyle."
Shiva,
Shiver_Man,The Shiver Man is an undead bounty hunter who has worked with Nick Fury and Wolverine.
Shocker_Herman_Schultz,"Herman Schultz is a career criminal who, after several prison terms for robbery, built a battle suit that sent out shock waves to quickly open safes as well as give him a significant advantage over the New York police."
Shockwave,"Lancaster Sneed was a secret agent working for the United Kingdom’s MI:6, but no one esteemed him as highly as himself, and despite his pride, he was wounded in an explosion on his first field assignment and forced to undergo a radical surgery that grafted metal plates and cybernetic systems to his body."
Shooting_Star,
Shotgun,
Shriek,Shriek became a groupie for a rock band and a drug dealer on the side until the vigilantes Cloak and Dagger happened by during one of her deals.
Sif,Sif was born a second generation goddess of Asgard and eventually became Thor's lover.
Silhouette,"Silhouette Chord is a descendant of the Dragon's Breadth cult, which spent centuries trying to master the Well of All Things, a hidden interdimensional mystic energy breach in Cambodia."
Silk_Cindy_Moon,
Silk_Fever,
Silver_Centurion,
Silver_Fox,"Silver Fox was a young member of the Blackfoot Indian tribe who, in the early 1910s, fell in love with a young mutant named Logan and shared a cabin with him in a remote community in the Canadian Rockies."
Silver_Sable,"Silver Sable trained her entire life, becoming a master of a wide variety of weapons and training in all forms of hand-to-hand combat in preparation for the day she would inherit leadership of the Wild Pack."
Silver_Samurai,Keniuchio Harada is the mutant son of the former Japanese crimelord Shingen Harada.
Silver_Samurai_Age_of_Apocalypse,"Silver Samurai was a mutant rebel in his homeland of Japan, where, alongside Sunfire, he stood as the last line of defense against the hordes of Apocalypse."
Silver_Surfer,"When Zenn-La was threatened by the world-devouring entity known as Galactus, Norrin Radd stood up for his home planet and offered to work for Galactus, finding him new planets to eat, in exchange for saving his own. Years later, the Surfer has protected Earth and many other planets, becoming one of the greatest heroes in the universe."
Silverclaw,"When her father died, Lupe was taken in by the Church orphanage, despite their misgivings about her “ungodly” powers."
Silvermane,Silvio Manfredi has been a career criminal for most of his life.
Sin,
Sinister_Six,
Sir_Ram,
Siren_Earth-93060,Jennifer Pearson appeared on the Ultra hero scene as Siren after being held hostage by her fathers foe known as Mannequin.
Sister_Grimm,
Skaar,"The Hulk fathered a son while on the planet Sakaar, but thought him killed while still in his mother's womb; he was wrong."
Skaar_HAS,"No one knows where Skaar, the savage sword-swinger, came from, but one thing is for sure...he's a Hulk. The intensity of Skaarâ€™s war cry ""Skaar Slash!"" is matched only by his ferocious appetite. Although he is a great asset in the fight against evil, Skaar is just as destructive at home as he is on the battlefield. "
Skin,"Angelo Espinosa, a founding member of Generation X, code-named ""Skin"" due to his mutant ability to extend and control his extra skin in any number of ways."
Skreet,"The Proemial God Aegis revealed that Skreet was a Chaos Mite, a race of very small and powerful beings, which were deemed unstable by the Cosmic Consonance."
Skrulls,
Skrulls_Ultimate,
Skullbuster_Cylla_Markham,
Slapstick,"Steven Harmon's powers have been described as ""all of the abilities of a Saturday morning cartoon character."""
Slayback,"Ten years ago, Slayback was killed by Deadpool before returning from the dead to break into Department K, from which he stole the Weapon X Program files of Kane and Deadpool."
Sleeper,
Sleepwalker,Sleepwalkers are guardians of the Mindscape -- they apprehended beings that invade the sleeping minds of humans.
Slipstream,"Australian mutant siblings Heather and Davis Cameron were sent to live in Surfer's Paradise by their father in an effort to spare them from his life as Viceroy, godfather of Australian organized crime."
Slyde,"A scientist at Beemont Manufacturing, Jalome Beacher created a chemical that could be used to coat a surface and thereby eliminate all friction between it and any other object, which he used, after being downsized, to rob banks and his former employers."
Smasher_Vril_Rokk,"Smasher is a member of the Imperial Guard, a multi-ethnic group of super-powered alien beings who act as enforcers of the laws of the Shi'ar Empire."
Smiling_Tiger,
Snowbird,Narya's origins trace back to ancient times when the Eskimo Gods of the North battled the mystical Great Beasts for the fate of the world.
Solo_James_Bourne,James Bourne was drafted to a top-secret special forces operation where he endured ten months of hard and brutal training to earn his place in the new counter-terrorist group Omega Strike.
Songbird,"Melissa Gold grew up on the streets, adopting her mother's name ""Mimi"" as part of a hard, cold persona she developed as a survival mechanism."
Sons_of_the_Tiger,
Spacker_Dave,
Spectrum,
Speed,"Tommy Shepherd may be the son of the Scarlet Witch and the Vision, and thus the twin brother of Wiccan."
Speed_Demon,"James Saunders, a disgruntled chemist tired of his job with the Hudson Pharmaceutical Company of West Caldwell, New Jersey, was contacted by the Grandmaster and offered superhuman powers in exchange for joining a team that would compete on his behalf."
Speedball_Robert_Baldwin,
Spencer_Smythe,
Sphinx_Anath-Na_Mut,
Spider-dok,
Spider-Girl_Anya_Corazon, 
Spider-Girl_May_Parker,"May ""Mayday"" Parker is the daughter of Spider-Man and Mary Jane Watson-Parker. Born with all her father�s powers-and the same silly sense of humor-she�s grown up to become one of Earth�s most trusted heroes and a fitting tribute to her proud papa."
Spider-Gwen_Gwen_Stacy,
Spider-Ham_Larval_Earth,"As Spider-Ham Peter faced such nefarious foes as Ductor Doom, Bull-Frog, Raven the Hunter, Hogzilla, the Buzzard and the King-Pig!"
Spider-Man_1602,
Spider-Man_2099,
Spider-Man_Ai_Apaec,
Spider-Man_Ben_Reilly,
Spider-Man_House_of_M,"In the House of M universe, surrounded by his family, including his young son Richard and close friends, Peter Parker is the envy of the world and its most popular mutant; but lately, Peter has felt like something is wrong in his world."
Spider-Man_LEGO_Marvel_Super_Heroes,
Spider-Man_Marvel_Zombies,"Zombie Spider-Man ate his own wife and aunt, the only two people left in the world who truly loved him."
Spider-Man_Marvel:_Avengers_Alliance,
Spider-Man_Miles_Morales,"Teenager Miles Morales grew up in Brooklyn, New York. Recently, Miles took on the controversial and pressured role of Spider-Man shortly after the death of the original. Morales made his debut against The Kangaroo, much to the surprise and disapproval of many present at the confrontation."
Spider-Man_Noir,
Spider-Man_Peter_Parker,"Bitten by a radioactive spider, high school student Peter Parker gained the speed, strength and powers of a spider. Adopting the name Spider-Man, Peter hoped to start a career using his new abilities. Taught that with great power comes great responsibility, Spidey has vowed to use his powers to help people."
Spider-Man_Takuya_Yamashiro,
Spider-Man_Ultimate,"Peter’s relatively normal life changed abruptly during a school trip to Osborn Industries, Inc, where the company had been working on a super soldier serum, the Oz Compound; a spider exposed to it escaped and bit Peter before it was destroyed."
Spider-Woman_Charlotte_Witter,
Spider-Woman_Jessica_Drew,"When young Jessica Drew suffered uranium poisoning in 1931, her father was forced to inject her with his untested spider serum and seal her in a genetic accelerator."
Spider-Woman_Mattie_Franklin,"Mattie Franklin was granted her powers when, after overhearing a phone call between her father and Norman Osborn about the Gathering of the Five, she took her father's place during the Gathering and was endowed with the awesome powers that Norman Osborn had wanted for himself."
Spiral_Rita_Wayword,"Spiral was created to be an agent of Mojo, the despotic leader of Mojo World, often used as his favored personal servant, executioner, and spy."
Spirit,Spirit is a member of the Luphomoid race and she is one of the few survivors of her planet's destruction.
Spitfire,"During World War II, Jacqueline Falsworth bravely served in Britain’s Home Guard."
Spot,"Jonathan Ohnn was working as a research scientist on behalf of Wilson Fisk, the Kingpin of Crime."
Sprite,Sprite is a mischievous Eternal who maintains a perpetual youthful appearance.
Spyke,
Squadron_Sinister,
Squadron_Supreme_Earth-712,
Squirrel_Girl,"Escaping the taunts of her fellow school students regarding her physical mutation, Los-Angeles born Doreen Green fled into the nearby woods where she quickly discovered her affinity for squirrels."
Stacy_X,
Stacy_X_Ultimate,
Star_Brand,
Star-Lord_Peter_Quill,"Refusing to miss his opportunity, Peter Jason Quill stole a scoutship from Cape Canaveral, returned to Eve, and shot his way to the appointed spot, where his old rival Harrelson, NASA's choice to be Star-Lord, was awaiting selection, where Quill was transported away in his stead, and transformed into Star-Lord."
Starbolt,Starbolt is a member of the Shi'ar Imperial Guard.
Stardust,"As Herald for the world devourer, Galactus, Stardust found suitable worlds for her master to consume."
Starfox,"The youngest son of Mentor and Sui-San, Eros had the natural ability to excite pleasure in others, but his power had no effect upon his mutant older brother, Thanos, who worshiped the cosmic embodiment of Death and led an army against Titan."
Starhawk_Stakar_Ogord,"Though best known as a 31st century hero in the alternate Reality-691 timeline, the enigmatic, space-faring Starhawk originated a millennium earlier."
Starjammers,
Stark_Industries,
Stature,Cassie Lang is the daughter of deceased Avenger Scott Lang and a member of the Young Avengers.
Steel_Serpent_Davos,
Stegron,Vincent Stegron was hired by S.H.I.E.L.D. to work with Dr. Curt Connors to study dinosaur DNA from the Savage Land.
Stellaris,"It is unknown how Stellaris survived the extermination of her home world by the Celestials or how she acquired her living armor, but ever since she has committed herself to their destruction."
Stepford_Cuckoos,The Stepford Cuckoos were five identical mutant sisters who enrolled at the Xavier Institute and soon proved to be the crème de la crème of Emma Frost's telepathy class.
Stephanie_de_la_Spiroza,
Stephen_Strange,
Steve_Rogers,
Stick,"Stick, who trained both Daredevil and Elektra in the martial arts, is the leader of the warrior order called The Chaste, and has fought alongside the clan's other members against The Hand for years."
Stilt-Man_Wibur_Day,Wilbur Day was a scientist at Kaxton Labs who stole designs for a hydraulic ramming device from his company out of frustration of his position in his job.
Stingray_Walter_Newell,"Creating the Stingray costume, Newell succeeded in capturing the Sub-Mariner, although Namor soon escaped and Newell, while initially defeating him a second time, allowed his friend to go."
Stone_Men,
Storm,"Ororo Monroe is the descendant of an ancient line of African priestesses, all of whom have white hair, blue eyes, and the potential to wield magic."
Storm_Age_of_Apocalypse,"Calling herself the Windrider, Storm carved out a small area of Africa as her own and intended to keep it safe from the strife of the war between humans and mutants."
Storm_Marvel_Heroes,
Storm_Ultimate,"Ororo Munroe was raised in Morocco, learning English from American films, and after her family was murdered she fled to America, stealing cars in Harlem before relocating to Texas."
Stranger,"By his own account, the Stranger is a composite being possessing the combined strength and intellect of the billions of humanoid beings who once lived on the planet Gigantus, an ancient world in the Andromeda Galaxy whose size approached the limit at which a planet can exist before fissioning into a sun."
Strong_Guy,"According to his own admission, Guido was a nerdy-looking kid in his early life, bullied by other children, but after he discovered his mutant ability at a young age, when he was struck by a school bus, no one bullied him again."
Stryfe,"Stryfe is the clone of Nathan Christopher Summers, alias Cable, the son of Cyclops of the X-Men."
Stryfe_Ultimate,
Sub-Mariner,Prince Namor is the half-human/half-Atlantean ruler of Atlantis.
Sue_Storm,
Sugar_Man,"The Sugar Man was in charge of the Seattle Core, a slave camp that helped power North America during the Age of Apocalypse."
Sumo,
Sunfire,Shiro Yoshida’s mother was exposed to the atomic devastation of Hiroshima during World War II and died giving birth to him.
Sunfire_Age_of_Apocalypse,"During the beginning of Apocalypse's rise, Magneto approached Japan's greatest heroes, Sunfire and the Silver Samurai, and asked them to work with him and the X-Men to stop Apocalypse."
Sunset_Bain,
Sunspot,"Growing up in a wealthy Brazilian family, Roberto da Costa was forging a career as a skilled soccer player until his mutant nature manifested during a match."
Super_Hero_Squad,
Super-Adaptoid,The Super-Adaptoid was created by the organization known as A.I.M. using a piece of the Cosmic Cube.
Super-Skrull,"After the Fantastic Four stopped the Skrulls' attempted invasion of Earth, Skrull Emperor Dorrek invested vast resources into creating a superbeing of his own."
Supernaut,Sergeant Milo Fields was recruited for the Order and regained the use of his legs after his nervous system intermingled with that of Aralune.
Supreme_Intelligence,"The Supreme Intelligence is an organic, computer construct, created by the Kree to act as their supreme leader."
Surge,"Prior to enrolling at the Xavier Institute, Noriko Ashida lived on the street and was reliant on illegally obtained prescription drugs to reduce her highly accelerated mutant brain functions to a manageable rate."
Surtur,"Surtur was an enormous fiery demon native to the dimension of Asgard. Possessed of evil intelligence and vast power, Surtur was one of the major elemental forces of evil that the Asgardians feared. He was a mystical being whose existence predated that of Odin himself. Over 1,000 feet tall and wielding a huge fiery sword, he was once imprisoned by Odin at the Earth's core. Along with Ymir the Frost Giant and the Midgard Serpent, Surtur was the most powerful of Asgard's native enemies.

Surtur has been freed from imprisonment a few times over the years. The first time the Asgardian god of mischief Loki set Surtur free to wreak havok on Earth. The second time Surtur was set free by Marduk of the Sons of Satannish, a cult of human demon-worshippers. Surtur was banished to some unnamed netherworld at the end of that encounter. He appeared, yet again, in what was to be one of the Asgardians greatest battles against Surtur. Surtur hatched a plan to lure Asgard's armies to Earth leaving the city vulnerable to attack. He crossed Bifrost with his newly forged Twilight blade believing Asgard to be defenseless; Odin, Thor and Loki were there to make a last stand to defeat Surtur. Their victory did not come easy though, as Odin fell along with Surtur into a dimensional rift.

Surtur apparently died along with the Asgardians during Ragnarok."
Susan_Delgado,
Swarm,"Fritz von Meyer was once a Nazi scientist, the details of which remain unrevealed, although it is known he had access to looted gold from countless European capitals to fund his research."
Sway,"Suzanne Chan saw her parents gunned down in front of her, though she remained unscathed due to her manifesting mutant ability to stop time."
Switch,
Sword_Master_Sword_Master,
Swordsman,"Andreas reappeared as the Swordsman in the latest incarnation of the Thunderbolts, though his true identity was kept secret for some time."
Swordsman_Jacques_Duquesne,"When Clint Barton came to the Carson Carnival of Traveling Wonders, the Swordsman became one of his mentors."
Sym,
Synch,Everett Thomas was a founding member of Generation X.
T'Challa,
Tag,
Talisman_Elizabeth_Twoyoungmen,"Elizabeth Twoyoungmen was born in Calgary, Alberta, Canada, the daughter of Michael Twoyoungman (Shaman) of the Canadian superhero team Alpha Flight."
Talkback_Chase_Stein,Chase Stein is the son of mad scientists Victor and Janet Stein and is the tech genius of the Runaways.
Talon_Fraternity_of_Raptors,"Falling to Earth wrapped in a ball of flame, Talon crash landed next to the home of Chris Powell, the young hero known as Darkhawk."
Talos,"Born without the ability to shape shift like other Skrulls, Talos became a savage fighter and a decorated military commander."
Tana_Nile,
Tarantula_Luis_Alvarez,Alvarez replaced the original Tarantula after his death by the dictatorship Delvadian government.
Tarantula_Maria_Vasquez,"Tarantula has a bad attitude, evidenced by her enjoyment of inflicting pain upon her opponents, to the chagrin of her fellow Heroes for Hire."
Tarot,
Taskmaster,"Taskmaster first exhibited his unusual ability, called ""photographic reflexes,"" which allowed him to mimic the motion of anyone he saw, when he was a young boy."
Tattoo,
Taurus_Cornelius_van_Lunt,"New York businessman Cornelius van Lunt started a lucrative career in legitimate real estate dealing, but he later branched out into various criminal endeavors."
Technarchy,
Ted_Forrester,
Tempest,
Tenebrous,"Tenebrous has existed in this universe since its infancy, and was imprisoned in the planet Kyln after a battle with Galactus."
Terrax,"Tyros was once the dictator of the city Lanlak on the planet Birj, where his superhuman ability to command rocks and earth enabled him to overcome all resistance, but his rule of Lanlak came to an end when he was sought by the world-devouring Galactus to serve as his latest Herald."
Terror,"In the distant past, Terror battled a green bear-like demon that threatened early mankind, sacrificing his own form to overcome it; he was then cursed to wear its decayed form but gained its power."
Texas_Twister,
Thaddeus_Ross,
Thanos,"The Mad Titan Thanos, a melancholy, brooding individual, consumed with the concept of death, sought out personal power and increased strength, endowing himself with cybernetic implants until he became more powerful than any of his brethren."
Thanos_Ultimate,
The_198,
The_Anarchist,
The_Call,
The_Captain,
The_Collector_Taneleer_Tivan,"The Collector is one of the oldest living beings in the universe, having been among the first of the universe's races to become sentient in the wake of the Big Bang."
The_Enforcers,
The_Executioner,
The_Fallen,
The_Fury,
The_Hand,
The_Hood,
The_Howling_Commandos,
The_Hunter,
The_Initiative,
The_Leader_HAS,"What the Hulk has in strength, the Leader has in brains. Hulk's arch nemesis was affected by the same Gamma radiation that transformed Bruce Banner; but, instead of Hulk-ified muscles, the Leader got a Hulk-ified head. He's smart, sinister, and obsessed with destroying the Hulk!"
The_Liberteens,
The_Liberty_Legion,
The_Order,
The_Phantom,
The_Professor,
The_Renegades,
The_Santerians,
The_Shiver_Man,
The_Spike,
The_Stranger,
The_Twelve,
The_Watchers,
Thena,"Thena, a second generation Eternal, is the eldest daughter of Zuras, leader of the Eternals of Earth, and Cybele, and although she has lived for more than 4,000 years, she is still considered a young woman by Eternal standards."
Thing,"The radiation that mutated Reed Richards, Sue Storm and Johnny Storm into superhuman beings had also mutated Ben Grimm, transforming him into a grotesque, rock-hided strongman dubbed the Thing."
Thing_Marvel_Heroes,
Thing_Ultimate,"When the time came for Reed Richards to demonstrate his teleportation device, his old friend Ben Grimm was invited to observe, but the device malfunctioned and Ben woke up in Mexico City, transformed into a rocky, brutish Thing."
Thor,"As the Norse God of thunder and lightning, Thor wields one of the greatest weapons ever made, the enchanted hammer Mjolnir. While others have described Thor as an over-muscled, oafish imbecile, he's quite smart and compassionate.  He's self-assured, and he would never, ever stop fighting for a worthwhile cause."
